time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2025-09-02 23:04:55,-108.5243,39.1197, 855.0, 1474, 33.3,  1.2,  1.2, 13, 13, 4.89,248, 2.6
2025-09-02 23:04:56,-108.5242,39.1197, 854.5, 1478, 33.2,  0.8,  0.8, 13, 13, 4.75,323, 5.5
2025-09-02 23:04:57,-108.5241,39.1197, 854.1, 1482, 33.0,  0.4,  0.4, 12, 12, 4.62,322, 5.4
2025-09-02 23:04:58,-108.5241,39.1197, 853.6, 1487, 32.9,  0.0,  0.0, 12, 12, 4.50,321, 5.4
2025-09-02 23:04:59,-108.5240,39.1196, 853.1, 1493, 32.8, -0.4, -0.3, 12, 12, 4.37,319, 5.3
2025-09-02 23:05:00,-108.5240,39.1196, 852.6, 1499, 32.6, -0.8, -0.7, 12, 12, 4.24,318, 5.3
2025-09-02 23:05:01,-108.5239,39.1196, 852.2, 1505, 32.5, -1.2, -1.0, 11, 11, 4.12,317, 5.3
2025-09-02 23:05:02,-108.5239,39.1196, 851.8, 1508, 32.4, -1.4, -1.3, 11, 11, 4.05,315, 5.3
2025-09-02 23:05:03,-108.5238,39.1195, 851.0, 1516, 32.2, -1.4, -1.2, 11, 11, 4.07,310, 5.3
2025-09-02 23:05:04,-108.5237,39.1195, 850.4, 1522, 32.1, -1.3, -1.2, 12, 12, 4.09,306, 5.3
2025-09-02 23:05:05,-108.5237,39.1195, 850.0, 1527, 32.1, -1.3, -1.1, 12, 12, 4.10,303, 5.4
2025-09-02 23:05:06,-108.5236,39.1195, 849.3, 1535, 31.9, -1.2, -1.1, 12, 12, 4.12,298, 5.4
2025-09-02 23:05:07,-108.5236,39.1194, 848.7, 1541, 31.8, -1.2, -1.1, 12, 12, 4.13,294, 5.4
2025-09-02 23:05:08,-108.5235,39.1194, 848.1, 1547, 31.7, -1.2, -1.0, 12, 12, 4.15,291, 5.4
2025-09-02 23:05:09,-108.5234,39.1194, 847.5, 1553, 31.6, -1.1, -1.0, 12, 12, 4.16,287, 5.4
2025-09-02 23:05:10,-108.5234,39.1194, 846.9, 1559, 31.5, -1.1, -1.0, 12, 12, 4.17,284, 5.5
2025-09-02 23:05:11,-108.5233,39.1194, 846.3, 1566, 31.4, -1.1, -0.9, 12, 12, 4.19,283, 5.4
2025-09-02 23:05:12,-108.5232,39.1194, 845.7, 1572, 31.3, -1.0, -0.9, 12, 12, 4.20,282, 5.4
2025-09-02 23:05:13,-108.5232,39.1194, 845.2, 1578, 31.1, -1.0, -0.9, 13, 13, 4.21,281, 5.4
2025-09-02 23:05:14,-108.5231,39.1194, 844.6, 1585, 31.0, -1.0, -0.9, 13, 13, 4.22,280, 5.4
2025-09-02 23:05:15,-108.5230,39.1194, 844.0, 1591, 30.9, -1.0, -0.8, 13, 13, 4.23,280, 5.4
2025-09-02 23:05:16,-108.5230,39.1194, 843.4, 1597, 30.9, -0.9, -0.8, 13, 13, 4.23,279, 5.3
2025-09-02 23:05:17,-108.5229,39.1194, 843.0, 1601, 30.8, -0.9, -0.8, 13, 13, 4.24,278, 5.3
2025-09-02 23:05:18,-108.5229,39.1194, 842.2, 1610, 30.7, -0.9, -0.8, 13, 13, 4.25,277, 5.3
2025-09-02 23:05:19,-108.5228,39.1194, 841.6, 1616, 30.6, -0.9, -0.8, 13, 13, 4.26,276, 5.3
2025-09-02 23:05:20,-108.5227,39.1194, 841.0, 1622, 30.6, -0.9, -0.8, 13, 13, 4.26,275, 5.3
2025-09-02 23:05:21,-108.5227,39.1194, 840.4, 1628, 30.5, -0.9, -0.8, 13, 13, 4.27,275, 5.3
2025-09-02 23:05:22,-108.5226,39.1194, 839.8, 1635, 30.4, -0.9, -0.8, 13, 13, 4.27,274, 5.3
2025-09-02 23:05:23,-108.5225,39.1194, 839.2, 1641, 30.4, -0.9, -0.8, 13, 13, 4.28,273, 5.3
2025-09-02 23:05:24,-108.5225,39.1194, 838.6, 1648, 30.3, -0.9, -0.8, 13, 13, 4.29,273, 5.3
2025-09-02 23:05:25,-108.5224,39.1194, 838.0, 1655, 30.2, -0.8, -0.7, 13, 13, 4.29,273, 5.3
2025-09-02 23:05:26,-108.5223,39.1194, 837.4, 1661, 30.1, -0.8, -0.7, 13, 13, 4.30,272, 5.4
2025-09-02 23:05:27,-108.5223,39.1194, 836.8, 1668, 30.1, -0.8, -0.7, 14, 14, 4.31,272, 5.4
2025-09-02 23:05:28,-108.5222,39.1194, 836.1, 1674, 30.0, -0.8, -0.7, 14, 14, 4.31,272, 5.5
2025-09-02 23:05:29,-108.5221,39.1194, 835.5, 1680, 29.9, -0.8, -0.7, 14, 14, 4.31,272, 5.5
2025-09-02 23:05:30,-108.5221,39.1194, 834.9, 1687, 29.8, -0.9, -0.8, 14, 14, 4.30,272, 5.6
2025-09-02 23:05:31,-108.5220,39.1194, 834.3, 1693, 29.7, -0.9, -0.8, 14, 14, 4.30,272, 5.6
2025-09-02 23:05:32,-108.5220,39.1194, 833.8, 1699, 29.6, -0.9, -0.8, 14, 14, 4.29,272, 5.7
