time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s,layer
2025-11-03 23:04:47,-108.5243,39.1197,854.6,1474,16.1,-1.9,-1.7,29,29,3.9,292,0.5,0
2025-11-03 23:04:48,-108.5243,39.1197,853.9,1482,16.0,-2.1,-1.9,29,29,3.83,342,2.2,0
2025-11-03 23:04:49,-108.5242,39.1197,853.1,1489,15.8,-2.4,-2.1,28,28,3.76,342,2.1,0
2025-11-03 23:04:50,-108.5242,39.1197,852.4,1496,15.7,-2.7,-2.4,28,28,3.69,341,2.1,0
2025-11-03 23:04:51,-108.5242,39.1196,851.7,1503,15.6,-2.9,-2.6,28,28,3.62,341,2.1,0
2025-11-03 23:04:52,-108.5242,39.1196,850.9,1511,15.5,-3.2,-2.8,28,28,3.55,341,2.0,0
2025-11-03 23:04:53,-108.5241,39.1196,850.0,1521,15.3,-3.6,-3.1,27,27,3.46,340,2.0,0
2025-11-03 23:04:54,-108.5241,39.1196,849.6,1526,15.2,-3.7,-3.3,27,27,3.42,340,1.9,0
2025-11-03 23:04:55,-108.5241,39.1195,849.1,1533,15.2,-3.8,-3.3,27,27,3.41,339,1.7,0
2025-11-03 23:04:56,-108.5241,39.1195,848.5,1538,15.1,-3.8,-3.3,27,27,3.41,338,1.6,0
2025-11-03 23:04:57,-108.5241,39.1195,848.0,1543,15.1,-3.8,-3.4,27,27,3.4,336,1.5,0
2025-11-03 23:04:58,-108.524,39.1195,847.4,1547,15.0,-3.8,-3.4,27,27,3.4,334,1.4,0
2025-11-03 23:04:59,-108.524,39.1195,846.9,1551,15.0,-3.9,-3.4,27,27,3.39,332,1.2,0
2025-11-03 23:05:00,-108.524,39.1195,846.4,1556,14.9,-3.9,-3.5,27,27,3.38,330,1.1,0
2025-11-03 23:05:01,-108.524,39.1194,845.9,1560,14.9,-4.0,-3.5,27,27,3.37,327,1.0,0
2025-11-03 23:05:02,-108.524,39.1194,845.4,1565,14.8,-4.0,-3.5,27,27,3.37,322,0.8,0
2025-11-03 23:05:03,-108.5239,39.1194,844.9,1570,14.8,-4.0,-3.6,27,27,3.36,323,0.8,0
2025-11-03 23:05:04,-108.5239,39.1194,844.5,1575,14.7,-4.1,-3.6,27,27,3.35,324,0.8,0
2025-11-03 23:05:05,-108.5239,39.1194,844.0,1580,14.7,-4.1,-3.6,27,27,3.35,326,0.8,0
2025-11-03 23:05:06,-108.5239,39.1194,843.5,1586,14.6,-4.1,-3.7,27,27,3.34,327,0.8,0
2025-11-03 23:05:07,-108.5239,39.1194,843.1,1590,14.6,-4.2,-3.7,27,27,3.32,328,0.8,0
2025-11-03 23:05:08,-108.5239,39.1194,842.6,1594,14.5,-4.3,-3.8,27,27,3.3,329,0.7,0
2025-11-03 23:05:09,-108.5239,39.1194,842.2,1598,14.5,-4.4,-3.9,27,27,3.28,330,0.7,0
